# Tetrahedron method
        1.7328135577        1.2324472680
        1.7567695089        1.2817277100
        1.7807254601        1.3369234415
        1.8046814113        1.4079626141
        1.8286373625        1.4963224642
        1.8525933137        1.5818079350
        1.8765492649        1.6890529356
        1.9005052161        1.8036824443
        1.9244611673        1.9512440659
        1.9484171185        2.1246179691
        1.9723730697        2.2323910370
        1.9963290209        2.4268538502
        2.0202849721        2.5516441793
        2.0442409233        2.6576340581
        2.0681968745        2.7787688741
        2.0921528257        2.9040658320
        2.1161087769        3.0809303158
        2.1400647281        3.2711189565
        2.1640206793        3.5042537705
        2.1879766304        3.6524523655
        2.2119325816        3.9282237370
        2.2358885328        3.8928276456
        2.2598444840        3.8158800978
        2.2838004352        3.4456133762
        2.3077563864        3.2543820837
        2.3317123376        3.0702259406
        2.3556682888        2.9438464223
        2.3796242400        2.8465349701
        2.4035801912        2.6711164312
        2.4275361424        2.4790335499
        2.4514920936        2.4860375254
        2.4754480448        2.5930391385
        2.4994039960        2.5008317295
        2.5233599472        2.5453384668
        2.5473158984        2.5702971288
        2.5712718496        2.5058929346
        2.5952278008        2.5023959450
        2.6191837520        2.5823751157
        2.6431397032        2.5293825037
        2.6670956544        2.5198560109
        2.6910516056        2.6326088851
        2.7150075568        2.6208754393
        2.7389635080        2.6043307217
        2.7629194592        2.6094328962
        2.7868754104        2.4443640980
        2.8108313616        2.3116365046
        2.8347873128        2.3108971891
        2.8587432639        2.2695093060
        2.8826992151        2.2203699764
        2.9066551663        2.2212549601
        2.9306111175        2.3010089701
        2.9545670687        2.3625985781
        2.9785230199        2.2558718715
        3.0024789711        2.1402549754
        3.0264349223        2.1413817077
        3.0503908735        1.9163858857
        3.0743468247        1.9780372959
        3.0983027759        2.3432962196
        3.1222587271        2.7060085718
        3.1462146783        2.2784173105
        3.1701706295        2.1406636515
        3.1941265807        1.9330722542
        3.2180825319        1.8515807051
        3.2420384831        1.7246497224
        3.2659944343        1.6416480371
        3.2899503855        1.5679913117
        3.3139063367        1.5204945184
        3.3378622879        1.3530151964
        3.3618182391        1.2611274940
        3.3857741903        1.3605624793
        3.4097301415        1.3731726486
        3.4336860927        1.3270814149
        3.4576420439        1.3702683483
        3.4815979951        1.5782435035
        3.5055539463        1.9887807204
        3.5295098975        2.4417229912
        3.5534658486        2.8012200658
        3.5774217998        3.6323102350
        3.6013777510        4.2975682788
        3.6253337022        3.9656613959
        3.6492896534        3.7974416292
        3.6732456046        3.9072788606
        3.6972015558        3.9749391380
        3.7211575070        3.8922824136
        3.7451134582        3.5464315814
        3.7690694094        3.0451685895
        3.7930253606        2.7572680582
        3.8169813118        2.5286997305
        3.8409372630        2.3330850270
        3.8648932142        2.1724373997
        3.8888491654        1.7497484200
        3.9128051166        1.4392611564
        3.9367610678        1.1258784566
        3.9607170190        0.7395764317
        3.9846729702        0.3521541183
        4.0086289214        0.0000000000
        4.0325848726        0.0000000000
        4.0565408238        0.0000000000
        4.0804967750        0.0000000000
        4.1044527262        0.0000000000
        4.1284086774        0.0000000000
        4.1523646286        0.0000000000
        4.1763205798        0.0000000000
        4.2002765310        0.0000000000
        4.2242324821        0.0000000000
        4.2481884333        0.0000000000
        4.2721443845        0.0000000000
        4.2961003357        0.0000000000
        4.3200562869        0.0000000000
        4.3440122381        0.0000000000
        4.3679681893        0.0000000000
        4.3919241405        0.0000000000
